Unnamed: 0,im,Old,Female,DarkSkin,ita
93,009476.jpg,False,True,False,30.56759462483293
94,008661.jpg,False,True,False,29.40197192962913
95,021790.jpg,False,True,False,32.01500774157055
96,170643.jpg,False,True,False,40.5305924038864
97,111767.jpg,False,True,False,40.376671154802985
98,102320.jpg,False,True,False,36.56250749840589
99,071165.jpg,False,True,False,36.755912741639335
100,119183.jpg,False,True,False,41.522973745958936
101,055437.jpg,False,True,False,34.390209316616456
102,098557.jpg,False,True,False,30.334201743199106
103,062672.jpg,False,False,False,37.42203459665792
104,051148.jpg,False,False,False,35.840608965526094
105,007457.jpg,False,True,False,43.46019553460732
106,127209.jpg,False,False,False,28.729856828786048
107,014545.jpg,False,False,False,55.62050946097503
108,073080.jpg,False,False,False,35.96568725205636
109,115534.jpg,False,True,False,36.340950372959384
110,150720.jpg,False,True,False,40.169761679720665
111,011433.jpg,False,True,False,35.92490126668575
112,077716.jpg,False,True,False,35.87844251517039
113,064290.jpg,False,False,False,38.493131700231416
114,202111.jpg,False,True,False,41.07830903937696
115,195143.jpg,False,True,False,49.309292411886794
116,035246.jpg,False,True,False,28.58198683765707
117,020875.jpg,False,True,False,45.11683588849245
118,157084.jpg,False,False,False,38.92637072739711
119,080656.jpg,False,True,False,33.508297804191926
120,190185.jpg,False,True,False,35.97480497159543
121,108001.jpg,False,True,False,34.32285721284503
122,111244.jpg,False,False,False,32.61978087922674
123,194226.jpg,False,True,False,46.5034395118425
124,119515.jpg,False,True,False,37.49826226191932
125,147940.jpg,False,False,False,33.7777199011099
126,000414.jpg,False,False,False,39.24703567688639
127,111533.jpg,False,True,False,30.9629995663012
128,005542.jpg,False,False,False,32.92894323632286
129,052804.jpg,False,True,False,44.14764179092352
130,078936.jpg,False,False,False,48.65693943764036
131,038753.jpg,False,True,False,40.50737695119025
132,051569.jpg,False,True,False,32.05024171656848
133,135745.jpg,False,True,False,34.05357406291111
134,124371.jpg,False,False,False,40.30261699201298
135,175714.jpg,False,True,False,33.067608191039305
136,115752.jpg,False,True,False,45.405020288905106
137,052437.jpg,False,True,False,32.949993480576914
138,142762.jpg,False,True,False,36.15544306441872
139,092514.jpg,False,False,False,32.17494975904893
140,058690.jpg,False,False,False,35.40044849106076
141,167948.jpg,False,True,False,28.27704597702973
142,008152.jpg,False,True,False,41.505706443564
143,185806.jpg,False,True,False,48.613288338119105
144,056562.jpg,False,True,False,30.084551702489552
145,012259.jpg,False,False,False,32.66392810704262
146,184511.jpg,False,True,False,42.935364795468566
147,072162.jpg,False,False,False,29.4507495982478
148,171908.jpg,False,False,False,31.7107447831026
149,199350.jpg,False,True,False,39.30408145465601
150,171515.jpg,False,True,False,54.76162822367631
151,004120.jpg,False,True,False,35.43141883323986
152,159552.jpg,False,False,False,34.66838033609817
153,136825.jpg,False,True,False,38.47544517288114
154,059275.jpg,False,False,False,31.82230439450277
155,152682.jpg,False,True,False,29.172471531501657
156,175007.jpg,False,True,False,32.628643370904896
157,191616.jpg,False,True,False,36.20168189368057
158,004162.jpg,False,False,False,37.86843581838596
159,064451.jpg,False,True,False,52.5321874265353
160,178473.jpg,False,True,False,28.05443053098681
161,052611.jpg,False,True,False,31.70309752025927
162,163244.jpg,False,False,False,36.63711092260644
163,095910.jpg,False,False,False,38.1727460507956
164,127472.jpg,False,True,False,41.303588466102035
165,067805.jpg,False,True,False,51.11709113685824
166,158648.jpg,False,True,False,42.54273386714787
167,138211.jpg,False,True,False,38.33405017201417
168,001629.jpg,False,True,False,42.26321392871691
169,082924.jpg,False,True,False,28.92081846393528
170,064300.jpg,False,True,False,35.99101606333391
171,049092.jpg,False,True,False,37.93282031965346
172,030414.jpg,False,True,False,33.80522059829822
173,051587.jpg,False,False,False,36.19792498820513
174,013019.jpg,False,True,False,53.12625095825396
175,132360.jpg,False,True,False,44.84880207770098
176,187074.jpg,False,True,False,33.04551930088268
177,074991.jpg,False,False,False,37.505005467213174
178,020523.jpg,False,True,False,41.51663712658815
179,112366.jpg,False,False,False,39.14383316958062
180,063680.jpg,False,True,False,44.13697417404389
181,137463.jpg,False,True,False,41.812223586333936
182,095195.jpg,False,False,False,37.40741733108653
183,042011.jpg,False,True,False,41.078663496555706
184,199638.jpg,False,True,False,35.691000584173324
185,171381.jpg,False,True,False,34.80642530025628
186,098607.jpg,False,True,False,31.956523695523053
187,054169.jpg,False,False,False,30.77528029921302
188,192204.jpg,False,True,False,41.10251875234209
189,131155.jpg,False,False,False,29.574030847801556
190,082193.jpg,False,True,False,38.32972779642896
191,156899.jpg,False,True,False,42.660893382183936
192,096115.jpg,False,True,False,32.393340065956835
193,065204.jpg,False,True,False,40.35077622043524
194,038303.jpg,False,False,False,35.82176023862276
195,095788.jpg,False,True,False,36.721251573328225
196,099184.jpg,False,True,False,29.564031471801076
197,196975.jpg,False,True,False,42.275145892604044
198,014701.jpg,False,True,False,36.719212112793
199,146891.jpg,False,True,False,43.103625518732755
200,188989.jpg,False,True,False,33.05048324674356
201,072925.jpg,False,True,False,38.51477590913018
202,134250.jpg,False,True,False,33.58087116772552
203,146223.jpg,False,False,False,35.018969078897555
204,191052.jpg,False,True,False,42.81282093210052
205,183588.jpg,False,True,False,38.98483068640552
206,116393.jpg,False,True,False,39.513760913302
207,199443.jpg,False,True,False,37.10976372664869
208,009309.jpg,False,False,False,28.108733770847678
209,188407.jpg,False,True,False,37.9374361014046
210,079483.jpg,False,True,False,34.18511466661114
211,000254.jpg,False,True,False,39.90873624577357
212,177987.jpg,False,True,False,37.02024271612997
213,056098.jpg,False,True,False,48.91551032339624
214,145471.jpg,False,True,False,41.581195721423896
215,184602.jpg,False,True,False,31.76526451024629
216,125582.jpg,False,False,False,41.50206331273746
217,065217.jpg,False,False,False,40.854106470570905
218,032774.jpg,False,True,False,45.836315608842646
219,044642.jpg,False,True,False,30.83850198364553
220,109908.jpg,False,False,False,41.18975913006497
221,035930.jpg,False,True,False,31.30375285055316
222,162229.jpg,False,True,False,32.583809369762484
223,058072.jpg,False,False,False,34.497578107782466
224,092802.jpg,False,False,False,39.55018741364061
225,047323.jpg,False,True,False,33.951200519782475
226,091131.jpg,False,True,False,42.147929881563
227,129209.jpg,False,False,False,30.515788725929827
228,198906.jpg,False,True,False,31.55122215495316
229,173186.jpg,False,False,False,39.50414427122113
230,124361.jpg,False,True,False,43.29687619841799
231,152937.jpg,False,True,False,32.592481711007125
232,058069.jpg,False,True,False,35.281220410851795
233,183449.jpg,False,True,False,37.18629492199779
234,093641.jpg,False,True,False,36.06476602228891
235,194392.jpg,False,True,False,37.14016452788256
236,001617.jpg,False,False,False,36.220067965908754
237,167229.jpg,False,True,False,36.166699799736726
238,102890.jpg,False,True,False,31.46433200441729
239,162592.jpg,False,False,False,32.18038565695518
240,055217.jpg,False,True,False,41.40554133626826
241,063657.jpg,False,False,False,33.74539424148642
242,118640.jpg,False,True,False,37.49071863042274
243,182569.jpg,False,False,False,35.07783411965165
244,122470.jpg,False,False,False,29.52476569942483
245,143242.jpg,False,True,False,43.1242009064576
246,198829.jpg,False,False,False,35.6546207398918
247,139121.jpg,False,False,False,29.603301101785284
248,187254.jpg,False,False,False,44.00544870441611
249,008715.jpg,False,True,False,45.42384817714893
250,043964.jpg,False,True,False,41.57073157114408
251,113363.jpg,False,False,False,41.03564217689706
252,175025.jpg,False,True,False,43.74895517906992
253,011416.jpg,False,True,False,44.317906489492884
254,180205.jpg,False,True,False,35.5684206261744
255,075717.jpg,False,True,False,45.37709547981901
256,113853.jpg,False,True,False,42.71753493400435
257,189566.jpg,False,True,False,42.29470028003789
258,060487.jpg,False,True,False,33.67609610179919
259,182574.jpg,False,True,False,38.355533759571045
260,034732.jpg,False,False,False,30.488340016232208
261,063385.jpg,False,True,False,43.85403863294686
262,045012.jpg,False,True,False,42.5114279904989
263,090855.jpg,False,True,False,35.80737225907409
264,125738.jpg,False,True,False,44.99752885771511
265,173486.jpg,False,True,False,36.65344952775311
266,172831.jpg,False,True,False,38.530877127556494
267,053260.jpg,False,False,False,30.29682127833572
268,191871.jpg,False,False,False,31.119636825899967
269,100623.jpg,False,True,False,44.55204062650064
270,129357.jpg,False,False,False,28.273837063377808
271,009205.jpg,False,True,False,29.183494788007145
272,146195.jpg,False,True,False,38.57045966668629
273,044969.jpg,False,True,False,29.480925895466623
274,117636.jpg,False,True,False,42.47907695707285
275,182907.jpg,False,True,False,41.0604622848666
276,180555.jpg,False,False,False,29.804754462072374
277,194837.jpg,False,True,False,28.334945799231463
278,022410.jpg,False,False,False,37.117308635377505
279,002334.jpg,False,True,False,29.6821553297478
280,025322.jpg,False,False,False,33.37374765805699
281,064317.jpg,False,True,False,33.38479635633994
282,078351.jpg,False,True,False,38.93545801636691
283,097315.jpg,False,True,False,37.142244024558465
284,007505.jpg,False,True,False,36.433076964775076
285,133130.jpg,False,True,False,35.95399428716824
286,169223.jpg,False,True,False,37.837308938400064
287,005308.jpg,False,True,False,46.14800158175069
288,160652.jpg,False,True,False,38.17373431305937
289,117425.jpg,False,True,False,41.999350259753975
290,135261.jpg,False,False,False,37.127481860795726
291,139426.jpg,False,True,False,36.942757346990774
292,006704.jpg,False,True,False,41.91768579003817
293,012897.jpg,False,True,False,34.08655842790322
294,175788.jpg,False,True,False,40.589575142259406
295,059351.jpg,False,True,False,28.93860887314802
296,060641.jpg,False,False,False,31.03659114265894
297,173525.jpg,False,True,False,45.948657679427605
298,083817.jpg,False,True,False,31.782697236356594
299,106944.jpg,False,True,False,29.04024321945764
300,196707.jpg,False,True,False,43.427999500271326
301,171496.jpg,False,True,False,39.18639724698496
302,018485.jpg,False,True,False,31.691090100516057
303,080914.jpg,False,True,False,37.540348539289695
304,028492.jpg,False,False,False,38.01233238385628
305,171794.jpg,False,True,False,30.969565340450497
306,032247.jpg,False,False,False,44.38374278561971
307,049250.jpg,False,True,False,30.56743879044744
308,021085.jpg,False,False,False,47.11539282463403
309,091379.jpg,False,False,False,30.68489499351549
310,044193.jpg,False,True,False,34.938355235228045
311,173937.jpg,False,True,False,38.54643936811153
312,178577.jpg,False,False,False,42.685468125149
313,002009.jpg,False,False,False,28.338491420538308
314,025151.jpg,False,True,False,36.98027312951852
315,056784.jpg,False,True,False,50.035090444895275
316,042302.jpg,False,False,False,28.61234671819298
317,138881.jpg,False,True,False,38.577001182172815
318,146128.jpg,False,False,False,36.332179798556545
319,132235.jpg,False,True,False,43.095528873408526
320,127832.jpg,False,False,False,36.23473855164012
321,080348.jpg,False,False,False,37.848125673335204
322,040719.jpg,False,True,False,36.51554405807993
323,097618.jpg,False,True,False,37.80475153162468
324,179730.jpg,False,False,False,44.89468666785721
325,165942.jpg,False,True,False,41.77465126454344
326,083794.jpg,False,False,False,33.29019976932066
327,009648.jpg,False,True,False,29.362074220266447
328,155668.jpg,False,True,False,40.63248266695966
329,119234.jpg,False,False,False,40.82590937009049
330,112094.jpg,False,True,False,32.19581112733389
331,029400.jpg,False,True,False,35.478869636117636
332,090629.jpg,False,True,False,43.237940962767105
333,004866.jpg,False,True,False,45.37478647583782
334,057050.jpg,False,True,False,29.96720523496614
335,019460.jpg,False,False,False,36.61784543916922
336,080283.jpg,False,False,False,36.31747462391148
337,052242.jpg,False,True,False,37.122708593006976
338,124152.jpg,False,True,False,40.83946471123127
339,010779.jpg,False,True,False,35.85488897944992
340,019507.jpg,False,True,False,41.060860188469135
341,043748.jpg,False,True,False,31.854177440768126
342,107101.jpg,False,False,False,41.32860597304093
343,103852.jpg,False,False,False,34.59745328574111
344,083832.jpg,False,True,False,37.54614070086827
345,002271.jpg,False,True,False,32.869471025657056
346,071224.jpg,False,False,False,42.11120503387692
347,114265.jpg,False,True,False,35.335434395320796
348,087028.jpg,False,True,False,36.39384062273199
349,132086.jpg,False,False,False,37.637547907788246
350,102797.jpg,False,True,False,35.049043488254064
351,118540.jpg,False,True,False,35.83203962635528
352,146670.jpg,False,True,False,29.71718921797305
353,089655.jpg,False,True,False,32.77262302755679
354,053993.jpg,False,True,False,39.60256588674979
355,131256.jpg,False,True,False,31.04298528386177
356,021060.jpg,False,False,False,33.12633360423919
357,083187.jpg,False,True,False,44.568348894956685
358,172276.jpg,False,True,False,45.727343971915076
359,007284.jpg,False,True,False,39.689668469033386
360,146552.jpg,False,True,False,35.406799354266354
361,118082.jpg,False,True,False,35.24435772199871
362,155888.jpg,False,False,False,47.01156482218026
363,127347.jpg,False,False,False,37.37493443714409
364,109980.jpg,False,True,False,38.98574168065401
365,137154.jpg,False,False,False,29.56757482064004
366,134871.jpg,False,True,False,39.08302612319912
367,082184.jpg,False,True,False,35.055366180449504
368,046464.jpg,False,True,False,34.18757979192347
369,193105.jpg,False,True,False,38.603823811804226
370,201151.jpg,False,True,False,34.633919470209634
371,102212.jpg,False,True,False,35.526167617841075
372,117773.jpg,False,True,False,40.34832538786606
373,005881.jpg,False,True,False,35.8167501338624
374,149404.jpg,False,True,False,46.77905851642824
375,119297.jpg,False,False,False,34.69591533582995
376,004760.jpg,False,False,False,42.76917379028798
377,042918.jpg,False,True,False,35.87777425804166
378,090474.jpg,False,True,False,37.32585200072826
379,107071.jpg,False,True,False,40.26039399845725
380,119394.jpg,False,False,False,32.344708440093115
381,176748.jpg,False,True,False,34.235909272888115
382,053347.jpg,False,True,False,43.37168283950981
383,122987.jpg,False,True,False,28.750515337594557
384,154039.jpg,False,True,False,37.159093869414676
385,041558.jpg,False,True,False,40.67523286565324
386,199007.jpg,False,True,False,38.29910589133432
387,085969.jpg,False,True,False,40.7712895869478
388,047942.jpg,False,False,False,35.26121958035028
389,099671.jpg,False,False,False,38.512597808273696
390,019657.jpg,False,True,False,46.71297073868853
391,122680.jpg,False,True,False,37.52752321663583
392,088877.jpg,False,False,False,44.884079647407894
393,044085.jpg,False,True,False,36.46518295684433
394,067612.jpg,False,True,False,39.931282866224706
395,057450.jpg,False,True,False,38.66359000265349
396,157067.jpg,False,True,False,43.852931392812735
397,023808.jpg,False,True,False,34.793432543975236
398,026803.jpg,False,True,False,40.41539644842412
399,184204.jpg,False,True,False,32.636788983570305
400,177763.jpg,False,True,False,34.64260440297139
401,144598.jpg,False,True,False,40.40251140154769
402,163604.jpg,False,True,False,32.31458191204029
403,108798.jpg,False,True,False,36.11297800429432
404,027200.jpg,False,False,False,39.069651051563476
405,032036.jpg,False,True,False,42.33737314982302
406,162739.jpg,False,False,False,33.39695358868535
407,030044.jpg,False,False,False,49.63963734093156
408,197188.jpg,False,False,False,40.21515329447335
409,149395.jpg,False,True,False,47.70971933195608
410,176328.jpg,False,True,False,49.29277260936921
411,068998.jpg,False,False,False,40.50551148022996
412,197123.jpg,False,False,False,43.16803391137257
413,169600.jpg,False,False,False,35.31904797845726
414,069032.jpg,False,True,False,32.88180982175271
415,178764.jpg,False,False,False,35.99060823961553
416,201765.jpg,False,True,False,42.83441510959963
417,041852.jpg,False,False,False,30.356303816001105
418,056613.jpg,False,True,False,30.311992246036162
419,008155.jpg,False,False,False,44.748623734120976
420,196628.jpg,False,False,False,33.30988511413142
421,081265.jpg,False,True,False,38.3463739988028
422,111580.jpg,False,True,False,38.17796151957664
423,004592.jpg,False,True,False,32.11574431078861
424,121054.jpg,False,True,False,35.27512238880423
425,162300.jpg,False,False,False,39.851037304073145
426,154325.jpg,False,False,False,40.611721841031425
427,096906.jpg,False,True,False,35.64112342634302
428,130331.jpg,False,False,False,30.669223185168466
429,049076.jpg,False,False,False,31.383798877681
430,055235.jpg,False,True,False,41.36245821849933
431,150815.jpg,False,False,False,42.85026989408839
432,079570.jpg,False,True,False,42.16279914277647
433,137373.jpg,False,True,False,41.4078618859309
434,019352.jpg,False,False,False,33.81051709417245
435,053236.jpg,False,True,False,39.34434684070616
436,031429.jpg,False,False,False,39.90655809631423
437,185381.jpg,False,True,False,33.50986838948769
438,136642.jpg,False,True,False,37.929673120322256
439,053824.jpg,False,True,False,47.0889946867571
440,162955.jpg,False,True,False,37.18052797754305
441,053990.jpg,False,False,False,34.921834667511646
442,081278.jpg,False,True,False,33.342695692817806
443,001786.jpg,False,True,False,42.27908968728365
444,120663.jpg,False,True,False,28.13593183254777
445,082623.jpg,False,True,False,43.223989535412464
446,169519.jpg,False,True,False,39.70098941217576
447,013590.jpg,False,False,False,48.86714607193293
448,032628.jpg,False,True,False,30.775991957911558
449,085761.jpg,False,True,False,36.289403520944326
450,064437.jpg,False,True,False,38.606304093977855
451,199283.jpg,False,True,False,42.78003565530715
452,199567.jpg,False,True,False,28.34006111047513
453,114424.jpg,False,False,False,37.85540755687898
454,052860.jpg,False,False,False,36.200001155457905
455,137861.jpg,False,True,False,42.672522175453636
456,098477.jpg,False,True,False,46.469199743536436
457,158331.jpg,False,False,False,42.30695555372147
458,125370.jpg,False,True,False,35.07518616388577
459,106186.jpg,False,False,False,29.32805646199925
460,089737.jpg,False,True,False,28.418461597972087
461,015560.jpg,False,True,False,29.12920380806877
462,158633.jpg,False,False,False,47.32013810816302
463,020125.jpg,False,True,False,36.842107044864406
464,180920.jpg,False,True,False,40.611105689434794
465,037114.jpg,False,False,False,39.00221497122938
466,125596.jpg,False,True,False,30.144315388631806
467,084286.jpg,False,True,False,38.813146606472685
468,193596.jpg,False,True,False,32.842909647900036
469,010986.jpg,False,True,False,29.80565878236261
470,113817.jpg,False,True,False,38.2750497590099
471,013399.jpg,False,True,False,30.90147093257655
472,124186.jpg,False,True,False,41.332597893038354
473,140895.jpg,False,True,False,42.11033858808445
474,055997.jpg,False,True,False,35.714562827593454
475,126735.jpg,False,True,False,41.322956368660506
476,037168.jpg,False,True,False,43.55473623435083
477,054222.jpg,False,False,False,36.14974451172531
478,104954.jpg,False,True,False,39.953808258451424
479,040760.jpg,False,True,False,33.978749686376986
480,075005.jpg,False,True,False,43.7944671064495
481,072434.jpg,False,True,False,37.55656058988245
482,094610.jpg,False,True,False,35.810303474690855
483,147814.jpg,False,False,False,34.001453596056315
484,039683.jpg,False,False,False,32.700566947992556
485,188704.jpg,False,True,False,34.27008247845953
486,043450.jpg,False,False,False,40.34873042576353
487,122495.jpg,False,True,False,33.857932114168136
488,138385.jpg,False,False,False,32.967192218677056
489,105827.jpg,False,True,False,39.106470043319256
490,154924.jpg,False,False,False,39.81814579789093
491,171577.jpg,False,True,False,29.552261613216466
492,022038.jpg,False,True,False,43.35940328153613
493,185074.jpg,False,True,False,29.83774691079635
494,107916.jpg,False,True,False,43.914653960350826
495,155047.jpg,False,False,False,34.17384437925885
496,061636.jpg,False,False,False,33.01727566165081
497,001561.jpg,False,True,False,29.63463867045701
498,136962.jpg,False,False,False,39.31000522191365
499,188219.jpg,False,True,False,40.935977920381156
500,180538.jpg,False,False,False,37.633058454284495
501,121078.jpg,False,True,False,38.183062714299155
502,035222.jpg,False,True,False,39.746954738793576
503,105908.jpg,False,False,False,47.54778954864658
504,104870.jpg,False,True,False,44.6118410971164
505,153544.jpg,False,True,False,28.68672819252898
506,076677.jpg,False,True,False,40.85507771310621
507,174081.jpg,False,True,False,39.36542751776635
508,019603.jpg,False,False,False,37.88250684692317
509,075493.jpg,False,True,False,41.569815666012225
510,117769.jpg,False,False,False,38.84953379432475
511,079649.jpg,False,False,False,39.408548135703796
512,105385.jpg,False,True,False,37.45823612670685
513,141432.jpg,False,False,False,43.34432796846252
514,134199.jpg,False,True,False,36.64452083878877
515,006694.jpg,False,False,False,32.37434807893877
516,041049.jpg,False,True,False,42.50949738755602
517,051970.jpg,False,True,False,44.067031302068216
518,025485.jpg,False,False,False,36.52634313759807
519,008273.jpg,False,True,False,42.92543752978639
520,005679.jpg,False,True,False,36.45403861736719
521,100966.jpg,False,True,False,32.31854497168302
522,107696.jpg,False,True,False,43.07911504685672
523,154316.jpg,False,True,False,47.284867804323035
524,151169.jpg,False,True,False,41.02854081392444
525,081215.jpg,False,True,False,34.60339708561382
526,178916.jpg,False,False,False,39.71978643124754
527,200565.jpg,False,True,False,38.98324807741711
528,126951.jpg,False,False,False,31.98068729323869
529,121613.jpg,False,True,False,30.616324823708943
530,170313.jpg,False,True,False,28.129983420555725
531,024426.jpg,False,True,False,39.666640474327735
532,131250.jpg,False,True,False,47.65703421832586
533,015998.jpg,False,False,False,36.31952941152503
534,101881.jpg,False,True,False,35.07377268056716
535,109426.jpg,False,True,False,46.11224781560221
536,161274.jpg,False,True,False,33.21359259329576
537,118138.jpg,False,True,False,43.12341092917664
538,057214.jpg,False,True,False,34.39551818758155
539,111890.jpg,False,False,False,40.257619839167546
540,044323.jpg,False,True,False,38.62889219554797
541,177084.jpg,False,True,False,45.28279383597989
542,137363.jpg,False,True,False,46.19525700757965
543,122861.jpg,False,True,False,52.88404617808385
544,163393.jpg,False,True,False,31.437921673550342
545,060576.jpg,False,True,False,49.24179556690506
546,064641.jpg,False,False,False,36.41661920212907
547,119198.jpg,False,True,False,34.19424243043779
548,076427.jpg,False,True,False,37.931894674660064
549,182570.jpg,False,True,False,34.37692773938426
550,127882.jpg,False,True,False,35.330542670017856
551,075613.jpg,False,True,False,42.55625359451611
552,179652.jpg,False,True,False,29.94413775977829
553,117908.jpg,False,False,False,39.20712826311957
554,129877.jpg,False,True,False,35.07184607643425
555,053922.jpg,False,False,False,28.6085511437198
556,068360.jpg,False,True,False,35.42436539028416
557,077847.jpg,False,True,False,41.656209372574246
558,018353.jpg,False,True,False,31.918522245529385
559,044027.jpg,False,True,False,38.481225448814094
560,103007.jpg,False,False,False,38.74797141354061
561,115319.jpg,False,True,False,36.517231120625326
562,155819.jpg,False,True,False,36.85178808664836
563,190741.jpg,False,True,False,36.090960638250216
564,115974.jpg,False,True,False,43.787024067886406
565,006853.jpg,False,False,False,32.64246647834643
566,144821.jpg,False,False,False,34.16111869891927
567,165724.jpg,False,True,False,32.63307553530588
568,153677.jpg,False,True,False,43.34838377121395
569,171472.jpg,False,True,False,36.83988664306692
570,169220.jpg,False,True,False,31.607049827388916
571,135766.jpg,False,True,False,35.764662569458224
572,058886.jpg,False,True,False,43.811911367324115
573,114878.jpg,False,True,False,31.79328869641977
574,076305.jpg,False,True,False,35.28341631036337
575,004834.jpg,False,True,False,39.8038069979532
576,073469.jpg,False,True,False,45.873782540856745
577,101162.jpg,False,True,False,35.47778652733064
578,134023.jpg,False,False,False,46.17675104297514
579,141084.jpg,False,True,False,44.97357852826761
580,163642.jpg,False,True,False,34.366836746763745
581,014696.jpg,False,True,False,34.631504374322645
582,045008.jpg,False,True,False,41.452563435800826
583,159928.jpg,False,False,False,32.73441740607378
584,172973.jpg,False,True,False,35.48083664518118
585,173934.jpg,False,True,False,39.28003787629844
586,071115.jpg,False,True,False,33.48807406027159
587,016236.jpg,False,True,False,30.918745613492913
588,085624.jpg,False,True,False,37.8898622550495
589,174969.jpg,False,True,False,35.513267328418564
590,093738.jpg,False,False,False,36.48952979495423
591,197181.jpg,False,True,False,42.217929607636854
592,189149.jpg,False,True,False,32.622296514932884
593,048048.jpg,False,False,False,34.428199496799266
594,188131.jpg,False,True,False,46.54050512252368
595,169409.jpg,False,False,False,39.96084258964285
596,034559.jpg,False,False,False,38.13740057323674
597,147172.jpg,False,False,False,33.60074512223096
598,085225.jpg,False,True,False,33.01817549054981
599,173762.jpg,False,True,False,36.50567652511897
600,178324.jpg,False,True,False,44.70364120627777
601,002250.jpg,False,True,False,39.936961273719795
602,047012.jpg,False,True,False,41.89477904197396
603,147588.jpg,False,True,False,45.575108071152535
604,042481.jpg,False,False,False,28.854752842971678
605,181333.jpg,False,False,False,41.45167319706928
